clan1,family1,clan2,family2,distance
CL00012,RF00162,CL00012,RF00162,0.0
CL00012,RF00162,CL00012,RF00634,506.0
CL00012,RF00162,CL00012,RF01725,826.0
CL00012,RF00162,CL00013,RF00100,2943.0
CL00012,RF00162,CL00013,RF01052,49833.0
CL00012,RF00162,CL00014,RF01315,927.0
CL00012,RF00162,CL00014,RF01317,933.0
CL00012,RF00162,CL00014,RF01327,941.0
CL00012,RF00162,CL00014,RF01328,937.0
CL00012,RF00162,CL00014,RF01338,937.0
CL00012,RF00162,CL00014,RF01352,941.0
CL00012,RF00162,CL00014,RF01379,919.0
CL00012,RF00162,CL00024,RF00392,409.0
CL00012,RF00162,CL00024,RF01240,2189.0
CL00012,RF00162,CL00034,RF00407,598.0
CL00012,RF00162,CL00034,RF00430,406.0
CL00012,RF00162,CL00034,RF00566,639.0
CL00012,RF00162,CL00034,RF00598,480.0
CL00012,RF00162,CL00069,RF00152,981.0
CL00012,RF00162,CL00069,RF00181,976.0
CL00012,RF00162,CL00069,RF00284,988.0
CL00012,RF00162,CL00069,RF00357,666.0
CL00012,RF00162,CL00069,RF00509,850.0
CL00012,RF00162,CL00069,RF00530,991.0
CL00012,RF00162,CL00069,RF00570,911.0
CL00012,RF00162,CL00069,RF01169,977.0
CL00012,RF00162,CL00069,RF01278,963.0
CL00012,RF00162,CL00116,RF03116,16401.0
CL00012,RF00162,CL00116,RF03117,24411.0
CL00012,RF00162,CL00116,RF03118,7416.0
CL00012,RF00162,CL00116,RF03119,33498.0
CL00012,RF00162,CL00116,RF03120,11829.0
CL00012,RF00162,CL00121,RF00114,1150.0
CL00012,RF00162,CL00121,RF03137,929.0
CL00012,RF00162,CL00121,RF03143,889.0
CL00012,RF00162,CL00121,RF03161,955.0
CL00012,RF00162,CL00124,RF03155,487.0
CL00012,RF00162,CL00124,RF03162,769.0
CL00012,RF00162,CL00150,RF00742,889.0
CL00012,RF00162,CL00150,RF04303,933.0
CL00012,RF00634,CL00012,RF00162,506.0
CL00012,RF00634,CL00012,RF00634,0.0
CL00012,RF00634,CL00012,RF01725,574.0
CL00012,RF00634,CL00013,RF00100,2599.0
CL00012,RF00634,CL00013,RF01052,49547.0
CL00012,RF00634,CL00014,RF01315,1267.0
CL00012,RF00634,CL00014,RF01317,1273.0
CL00012,RF00634,CL00014,RF01327,1281.0
CL00012,RF00634,CL00014,RF01328,1277.0
CL00012,RF00634,CL00014,RF01338,1277.0
CL00012,RF00634,CL00014,RF01352,1281.0
CL00012,RF00634,CL00014,RF01379,1251.0
CL00012,RF00634,CL00024,RF00392,545.0
CL00012,RF00634,CL00024,RF01240,1953.0
CL00012,RF00634,CL00034,RF00407,796.0
CL00012,RF00634,CL00034,RF00430,554.0
CL00012,RF00634,CL00034,RF00566,807.0
CL00012,RF00634,CL00034,RF00598,706.0
CL00012,RF00634,CL00069,RF00152,1257.0
CL00012,RF00634,CL00069,RF00181,1252.0
CL00012,RF00634,CL00069,RF00284,1264.0
CL00012,RF00634,CL00069,RF00357,910.0
CL00012,RF00634,CL00069,RF00509,806.0
CL00012,RF00634,CL00069,RF00530,1267.0
CL00012,RF00634,CL00069,RF00570,1181.0
CL00012,RF00634,CL00069,RF01169,1253.0
CL00012,RF00634,CL00069,RF01278,1239.0
CL00012,RF00634,CL00116,RF03116,16083.0
CL00012,RF00634,CL00116,RF03117,24109.0
CL00012,RF00634,CL00116,RF03118,7058.0
CL00012,RF00634,CL00116,RF03119,33262.0
CL00012,RF00634,CL00116,RF03120,11619.0
CL00012,RF00634,CL00121,RF00114,828.0
CL00012,RF00634,CL00121,RF03137,1229.0
CL00012,RF00634,CL00121,RF03143,1175.0
CL00012,RF00634,CL00121,RF03161,1249.0
CL00012,RF00634,CL00124,RF03155,827.0
CL00012,RF00634,CL00124,RF03162,1095.0
CL00012,RF00634,CL00150,RF00742,975.0
CL00012,RF00634,CL00150,RF04303,731.0
CL00012,RF01725,CL00012,RF00162,826.0
CL00012,RF01725,CL00012,RF00634,574.0
CL00012,RF01725,CL00012,RF01725,0.0
CL00012,RF01725,CL00013,RF00100,2615.0
CL00012,RF01725,CL00013,RF01052,49485.0
CL00012,RF01725,CL00014,RF01315,1199.0
CL00012,RF01725,CL00014,RF01317,1205.0
CL00012,RF01725,CL00014,RF01327,1213.0
CL00012,RF01725,CL00014,RF01328,1209.0
CL00012,RF01725,CL00014,RF01338,1209.0
CL00012,RF01725,CL00014,RF01352,1213.0
CL00012,RF01725,CL00014,RF01379,1183.0
CL00012,RF01725,CL00024,RF00392,873.0
CL00012,RF01725,CL00024,RF01240,2005.0
CL00012,RF01725,CL00034,RF00407,1170.0
CL00012,RF01725,CL00034,RF00430,842.0
CL00012,RF01725,CL00034,RF00566,1227.0
CL00012,RF01725,CL00034,RF00598,918.0
CL00012,RF01725,CL00069,RF00152,1163.0
CL00012,RF01725,CL00069,RF00181,1158.0
CL00012,RF01725,CL00069,RF00284,1170.0
CL00012,RF01725,CL00069,RF00357,812.0
CL00012,RF01725,CL00069,RF00509,574.0
CL00012,RF01725,CL00069,RF00530,1173.0
CL00012,RF01725,CL00069,RF00570,1115.0
CL00012,RF01725,CL00069,RF01169,1159.0
CL00012,RF01725,CL00069,RF01278,1145.0
CL00012,RF01725,CL00116,RF03116,16205.0
CL00012,RF01725,CL00116,RF03117,24191.0
CL00012,RF01725,CL00116,RF03118,7134.0
CL00012,RF01725,CL00116,RF03119,33242.0
CL00012,RF01725,CL00116,RF03120,11611.0
CL00012,RF01725,CL00121,RF00114,512.0
CL00012,RF01725,CL00121,RF03137,1127.0
CL00012,RF01725,CL00121,RF03143,1099.0
CL00012,RF01725,CL00121,RF03161,1141.0
CL00012,RF01725,CL00124,RF03155,715.0
CL00012,RF01725,CL00124,RF03162,1129.0
CL00012,RF01725,CL00150,RF00742,877.0
CL00012,RF01725,CL00150,RF04303,607.0
CL00013,RF00100,CL00012,RF00162,2943.0
CL00013,RF00100,CL00012,RF00634,2599.0
CL00013,RF00100,CL00012,RF01725,2615.0
CL00013,RF00100,CL00013,RF00100,0.0
CL00013,RF00100,CL00013,RF01052,48364.0
CL00013,RF00100,CL00014,RF01315,3720.0
CL00013,RF00100,CL00014,RF01317,3726.0
CL00013,RF00100,CL00014,RF01327,3734.0
CL00013,RF00100,CL00014,RF01328,3730.0
CL00013,RF00100,CL00014,RF01338,3730.0
CL00013,RF00100,CL00014,RF01352,3734.0
CL00013,RF00100,CL00014,RF01379,3704.0
CL00013,RF00100,CL00024,RF00392,2846.0
CL00013,RF00100,CL00024,RF01240,3046.0
CL00013,RF00100,CL00034,RF00407,2643.0
CL00013,RF00100,CL00034,RF00430,2885.0
CL00013,RF00100,CL00034,RF00566,2642.0
CL00013,RF00100,CL00034,RF00598,3025.0
CL00013,RF00100,CL00069,RF00152,3610.0
CL00013,RF00100,CL00069,RF00181,3633.0
CL00013,RF00100,CL00069,RF00284,3621.0
CL00013,RF00100,CL00069,RF00357,3223.0
CL00013,RF00100,CL00069,RF00509,2923.0
CL00013,RF00100,CL00069,RF00530,3636.0
